level_0	index	TABKEY	CLASS	MANUF	MODEL	GROUP	SERIES	DEVTYPE	DESCRIPTION	CATEGORY
2082	2082	11427	PRG	Janrain	DEV-TOOL	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
2083	2083	847	PRG	PivotalSoft	GreenplumDB	DBMS	DBMS-BI	APPL	DATABASE MANAGEMENT	
2084	2084	10583	PRG	Salesforce	Mrktng Cloud	MARKETING	ENTPRISE-APP	APPL	MARKETING PERFORMANCE MANAGE	
2085	2085	1253	PRG	Barracuda	WebFilter	ANTI-VIRUS	SECURITY-MGT	SYSTEM	ANTI-VIRUS	
2086	2086	4370800	PRG	SYNON	SYNON/2E	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
2087	2087	11060	PRG	MarinSoft	MARKETING-SW	MARKETING	ENTPRISE-APP	APPL	MARKETING PERFORMANCE MANAGE	
2088	2088	10683	PRG	Westlaw	LEGAL-SRV-SW	LEGAL-SRV	IND-SPECIFIC	APPL	LEGAL & PROFESSIONAL SERVICE	
2089	2089	877	PRG	HP	PPMgntCntr	PROJECT-MGT	ENTPRISE-APP	APPL	PROJECT MANAGEMENT SOFTWARE	
2092	2092	11560	PRG	IBM	IMpact	COMMERCE	ENTPRISE-APP	APPL	COMMERCE APPLICATION	
2094	2094	90336500	PRG	ONYX	CRM	CRM/SFA	ENTPRISE-APP	APPL	CUSTOMER/SALESFORCE MGMT	
2096	2096	11009	PRG	Microsoft	SysCtrEptPrt	MONITORING	ENTERPRISE-M	APPL	SECURITY INFORMATION & EVENT	
2097	2097	12759	RTR	KempTech	ROUTER	ROUTER	ROUTER		ROUTER	
2098	2098	11784	OPR	Microsoft	dotNET	OS	OS		OPERATING SYSTEM	
2100	2100	3391	PRG	Altair	OptiStruct	PUBLISHING	ENTPRISE-APP	APPL	DESIGN & PUBLISHING SOFTWARE	
2105	2105	11778	CPU	IBM	PowerHA	UNSPEC-SVR	INTEL-SERVER	INTEL	SERVER	
2106	2106	1012	PRG	Yardi	REALTY-SW	REAL ESTATE	IND-SPECIFIC	APPL	REAL ESTATE	
2107	2107	764	PRG	Oracle	Oracle 8i	DBMS	DBMS-BI	APPL	DATABASE MANAGEMENT	
2109	2109	9403	RTR	SilverPeak	ROUTER	ROUTER	ROUTER		ROUTER	
2110	2110	11188	PRG	SAP	Whse Mgmt	INVENTORY-MG	ENTPRISE-APP	APPL	INVENTORY MANAGEMENT	
2111	2111	8849	PRG	Kyriba	ENTPRISE-MGT	ENTPRISE-MGT	ENTPRISE-MGT	SYSTEM	ENTERPRISE MANAGEMENT	
2113	2113	11217	PRG	Google	AdSense	SAAS	CLOUD-CMPTNG	APPL	SOFTWARE AS A SERVICE	
2115	2115	903	PRG	IBM	RAM	ASSET-MGMT	SYSTEMS-MGMT	SYSTEM	ASSET MANAGEMENT	
2116	2116	5154	PRG	Sybase	PwrBuilder	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
2118	2118	10917	PRG	Domo	BI-SOFTWARE	BI	DBMS-BI	APPL	BUSINESS INTELLIGENCE	
2121	2121	7076	PRG	ON24	SAAS	SAAS	CLOUD-CMPTNG	APPL	SOFTWARE AS A SERVICE	
2122	2122	11021	PRG	Telmetrics	CALL-SWFTWR	CONTACTCENTE	ENTERPRISE-A	SYSTEM	CONTACT CENTER MANAGEMENT	
2123	2123	432	PRG	IBM	SPSS	MONITORING	ENTERPRISE-M	APPL	SECURITY INFORMATION & EVENT	
2125	2125	11748	PRG	IBM	RSA	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
2126	2126	4954900	OPR	MICROSOFT	WIN/98	WINDOWS	WINDOWS		OPERATING SYSTEM	
2127	2127	11360	PRG	Quantcast	MONITORNG-SW	MONITORING	ENTERPRISE-M	APPL	SECURITY INFORMATION & EVENT	
2128	2128	90966400	HOS	RIM	BLACKBERRY	HANDSET-OS	HANDSET-OS		HANDSET OPERATING SYSTEM	
2129	2129	12453	PRG	NetDocs	NetDocuments	DOC-MGMT	WORKFLOW	APPL	DOCUMENT MANAGEMENT	
2132	2132	5226	PRG	McAfee	EMM	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
2134	2134	11380	PRG	Sizmek	MARKETING-SW	MARKETING	ENTPRISE-APP	APPL	MARKETING PERFORMANCE MANAGE	
2137	2137	1072	PRG	Atlassian	Greenhopper	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
2138	2138	907	PRG	IBM	RatClearQust	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
2139	2139	10587	PRG	Cisco	Ironport	ANTI-VIRUS	SECURITY-MGT	SYSTEM	ANTI-VIRUS	
2140	2140	61	PRG	Rocket Soft	Aldon	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
2141	2141	8696	PRG	IBM	DFSMS	DATA-CENTER	ENTERRISE-MG	SYSTEM	IT INFRASTRUCTURE & OPS MANA	
2142	2142	10987	PRG	HydroCAD	PUBLISHNG-SW	PUBLISHING	ENTPRISE-APP	APPL	DESIGN & PUBLISHING SOFTWARE	
2143	2143	10921	PRG	GridGain	COLLAB-SWFTR	COLLABORATIV	ENTPRISE-APP	SYSTEM	COLLABORATIVE/INTEGRN SOFTWR	
2144	2144	9309	RTR	HP	FlexFabric	ROUTER	ROUTER		ROUTER	
2145	2145	11048	OPR	Apache-Soft	Pig	OS	OS		OPERATING SYSTEM	
2146	2146	225	PRG	Oracle	GoldenGate	DBMS	DBMS-BI	APPL	DATABASE MANAGEMENT	
2147	2147	8600	PRG	Pardot	MARKETING-SW	MARKETING	ENTPRISE-APP	APPL	MARKETING PERFORMANCE MANAGE	
2149	2149	436	PRG	IBM	SterlingComm	COMMERCE	ENTPRISE-APP	APPL	COMMERCE APPLICATION	
2150	2150	6212700	RTR	JUNIPER	ROUTER	ROUTER	ROUTER		ROUTER	
2151	2151	10741	PRG	AggrgtKnowl	AggrgatKnowl	MARKETING	ENTPRISE-APP	APPL	MARKETING PERFORMANCE MANAGE	
2152	2152	9338	PRG	IBM	GPFS	DATA-CENTER	ENTERRISE-MG	SYSTEM	IT INFRASTRUCTURE & OPS MANA	
2153	2153	7346	PRG	IBM	Connections	SOCIAL-MGT	ENTERPRISE-A	SYSTEM	SOCIAL MEDIA SYSTEMS	
2154	2154	11929	PRG	IBM	DataMirror	COLLABORATIV	ENTPRISE-APP	SYSTEM	COLLABORATIVE/INTEGRN SOFTWR	
2155	2155	849	PRG	EMC	NetWorker	STORAGE-MGMT	STORAGE-MGMT	SYSTEM	STORAGE MANAGEMENT	
2157	2157	7269	PRG	Zuora	ACCTNG-SFTWR	ACCOUNTING	ENTPRISE-APP	APPL	ACCOUNTING	
2158	2158	90296700	PRG	PERFORCE	PERFORCE	SOFT-CONFIG	APPL-MGMT	SYSTEM	SOFTWARE CONFIGURATION MGMT	
2159	2159	563	PRG	Microsoft	Live Meeting	COLLABORATIV	ENTPRISE-APP	SYSTEM	COLLABORATIVE/INTEGRN SOFTWR	
2160	2160	4567	PRG	Oracle	Fusion	BUSINESS SOL	ENTPRISE-APP	APPL	ENTERPRISE BUSINESS SOLUTION	
2161	2161	662	PRG	SAP	SAP R3	ERP-UNSPEC	ENTPRISE-APP	APPL	UNSPECIFIED ERP MODULE	
2164	2164	11464	PRG	PowrReviews	PowerReviews	SOCIAL-MGT	ENTERPRISE-A	SYSTEM	SOCIAL MEDIA SYSTEMS	
2166	2166	7096	PRG	Genetec	ANTI-VIRUS	ANTI-VIRUS	SECURITY-MGT	SYSTEM	ANTI-VIRUS	
2167	2167	4594	PRG	Ceridian	HR-SOFTWARE	HUMAN-RES	ENTPRISE-APP	APPL	HUMAN RESOURCES MANAGEMENT	
2169	2169	12787	PRG	proposalsft	pmaps	MARKETING	ENTPRISE-APP	APPL	MARKETING PERFORMANCE MANAGE	
2171	2171	287	PRG	LANSA	DEV-TOOL	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
2173	2173	4601	PRG	Cisco	TidalSchdlr	DATA-CENTER	ENTERRISE-MG	SYSTEM	IT INFRASTRUCTURE & OPS MANA	
2175	2175	11280	PRG	DreamHost	IAAS	IAAS	CLOUD-CMPTNG	APPL	INFRASTRUCTURE AS A SERVICE	
2177	2177	6361000	RTR	LINKSYS	ROUTER	ROUTER	ROUTER		ROUTER	
2178	2178	6371800	PRG	HYPERION	BI	BI	DBMS-BI	APPL	BUSINESS INTELLIGENCE	
2182	2182	11460	PRG	Apache-Soft	Jmeter	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
2183	2183	11858	PRG	SearchDex	MARKETING-SW	MARKETING	ENTPRISE-APP	APPL	MARKETING PERFORMANCE MANAGE	
2185	2185	142	PRG	NetSuite	ERP	ERP-UNSPEC	ENTPRISE-APP	APPL	UNSPECIFIED ERP MODULE	
2186	2186	12792	PRG	Google	cloudplatfrm	IAAS	CLOUD-CMPTNG	APPL	INFRASTRUCTURE AS A SERVICE	
2187	2187	90784500	PRG	SYMANTEC	ANTI-VIRUS	ANTI-VIRUS	SECURITY-MGT	SYSTEM	ANTI-VIRUS	
2188	2188	8639	RTR	Cisco	4900M	ROUTER	ROUTER		ROUTER	
2190	2190	856	PRG	Epicor	ERP	ERP-UNSPEC	ENTPRISE-APP	APPL	UNSPECIFIED ERP MODULE	
2191	2191	6685	PRT	Canon	ImageRunner	PRINTER	PRINTER	UNSPEC	PRINTER	
2192	2192	1146	PRT	Ricoh	Infoprint	PRINTER	PRINTER	UNSPEC	PRINTER	
2196	2196	9090	PRG	Apache-Soft	Cassandra	DBMS	DBMS-BI	APPL	DATABASE MANAGEMENT	
2197	2197	5203	PRG	Desire2Lrn	EDUCATION-SW	EDUCATION	IND-SPECIFIC	APPL	ACADEMIC & EDUCATION MANAGEM	
2198	2198	902	PRG	IBM	AppScan	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
2199	2199	7337	PRG	Deltek	Costpoint	ERP-UNSPEC	ENTPRISE-APP	APPL	UNSPECIFIED ERP MODULE	
2200	2200	4946700	PRG	COMPILER	HTML	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
2201	2201	11220	PRG	Google	DoubleClick	MARKETING	ENTPRISE-APP	APPL	MARKETING PERFORMANCE MANAGE	
2204	2204	11046	PRG	Apache-Soft	Mahout	DBMS	DBMS-BI	APPL	DATABASE MANAGEMENT	
2205	2205	5105	PRG	BMC	Control-M	SERVER-MGMT	SYSTEMS-MGMT	SYSTEM	SERVER MANAGEMENT TOOLS	
2209	2209	11724	PRG	Woobox	MARKETING-SW	MARKETING	ENTPRISE-APP	APPL	MARKETING PERFORMANCE MANAGE	
2210	2210	12515	PRG	Esko	WebCenter	MARKETING	ENTPRISE-APP	APPL	MARKETING PERFORMANCE MANAGE	
2211	2211	6430	PRG	Oracle	FinancialSer	COMMERCE	ENTPRISE-APP	APPL	COMMERCE APPLICATION	
2212	2212	90339000	PRG	PIVOTAL	CRM	CRM/SFA	ENTPRISE-APP	APPL	CUSTOMER/SALESFORCE MGMT	
2214	2214	4885	PRG	Siemens	I-DEAS	PUBLISHING	ENTPRISE-APP	APPL	DESIGN & PUBLISHING SOFTWARE	
2216	2216	5083	PRG	SAP	MstrDataGov	ENTPRISE-MGT	ENTPRISE-MGT	SYSTEM	ENTERPRISE MANAGEMENT	
2217	2217	368	PRG	PingIdentit	PingIdentity	IAAS	CLOUD-CMPTNG	APPL	INFRASTRUCTURE AS A SERVICE	
2218	2218	1013100	CPU	IBM	SERVER	UNSPEC-SVR	SERVER	UNSPEC	SERVER	
2223	2223	90807100	CPU	IBM	ZSERIES	ZSERIES	ZSERIES	IBM/PCM	IBM/PCM MAINFRAME	HIGH-END
2224	2224	4830	PRG	Avid-Tech	ProTools	MEDIA	IND-SPECIFIC	APPL	MEDIA	
2225	2225	612	PRG	NetApp	SnapMgr	PAAS	CLOUD-CMPTNG	APPL	PLATFORM AS A SERVICE	
2228	2228	4706	PRG	Red-Hat	JBoss EAS	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
2230	2230	6536	PRG	ProgressSw	ProgressSoft	BI	DBMS-BI	APPL	BUSINESS INTELLIGENCE	
2232	2232	6267600	PRG	SYBASE	POWERBUILDER	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
2233	2233	12510	PRG	CFEngine	SOFT-CONFIG	SOFT-CONFIG	APPL-MGMT	SYSTEM	SOFTWARE CONFIGURATION MGMT	
2235	2235	90841100	PRG	ORACLE	SAAS	SAAS	CLOUD-CMPTNG	APPL	SOFTWARE AS A SERVICE	
2238	2238	8438	PRG	Oracle	Exalogic	COLLABORATIV	ENTPRISE-APP	SYSTEM	COLLABORATIVE/INTEGRN SOFTWR	
2239	2239	10866	PRG	BlkmgcDesgn	DavinciRsolv	MEDIA	IND-SPECIFIC	APPL	MEDIA	
2240	2240	10578	PRG	RegOnline	MARKETING-SW	MARKETING	ENTPRISE-APP	APPL	MARKETING PERFORMANCE MANAGE	
2241	2241	11235	PRG	CrownPeak	SAAS	SAAS	CLOUD-CMPTNG	APPL	SOFTWARE AS A SERVICE	
2244	2244	10665	PRG	TenableNtSc	Nessus	ANTI-VIRUS	SECURITY-MGT	SYSTEM	ANTI-VIRUS	
2246	2246	1278	PRG	IBM	TivoliAcsMgr	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
2248	2248	90815400	PRG	GOOGLE	SAAS	SAAS	CLOUD-CMPTNG	APPL	SOFTWARE AS A SERVICE	
2249	2249	11170	NLV	RealFlow	NLV	NLV	NLV	NLV	NLV	
2250	2250	494	PRG	Webtrends	MONITORNG-SW	MONITORING	ENTERPRISE-M	APPL	SECURITY INFORMATION & EVENT	
2251	2251	148	VIP	Comptel	VOIP	VOICEOVERIP	VOICEOVERIP	VOICEOV	VOICE OVER INTERNET	
2252	2252	43	PRG	Accellion	STORAGE-MGMT	STORAGE-MGMT	STORAGE-MGMT	SYSTEM	STORAGE MANAGEMENT	
2253	2253	7168	PRG	Corel	PUBLISHNG-SW	PUBLISHING	ENTPRISE-APP	APPL	DESIGN & PUBLISHING SOFTWARE	
2254	2254	8880	PRG	Avaya	IP Office	COLLABORATIV	ENTPRISE-APP	SYSTEM	COLLABORATIVE/INTEGRN SOFTWR	
2256	2256	11482	PRG	Tidemark	ENTPRISE-MGT	ENTPRISE-MGT	ENTPRISE-MGT	SYSTEM	ENTERPRISE MANAGEMENT	
2257	2257	4881	PRG	Schlumbergr	Petrel	PUBLISHING	ENTPRISE-APP	APPL	DESIGN & PUBLISHING SOFTWARE	
2258	2258	12520	PRG	TechSmith	Camtasia	SAAS	CLOUD-CMPTNG	APPL	SOFTWARE AS A SERVICE	
2260	2260	7331	PRG	Telligent	SOCIAL-MGT	SOCIAL-MGT	ENTERPRISE-A	SYSTEM	SOCIAL MEDIA SYSTEMS	
2261	2261	4584	PRG	ShareFile	DOC-MGMT	DOC-MGMT	WORKFLOW	APPL	DOCUMENT MANAGEMENT	
2262	2262	4828	PRG	Avid-Tech	MediaCmpsr	MEDIA	IND-SPECIFIC	APPL	MEDIA	
2263	2263	4847	PRG	ESRI	ArcInfo	PUBLISHING	ENTPRISE-APP	APPL	DESIGN & PUBLISHING SOFTWARE	
2265	2265	9417	PRG	Ubercart	COMM-SWFTWR	COMMERCE	ENTPRISE-APP	APPL	COMMERCE APPLICATION	
2266	2266	4148400	PRG	MICROSOFT	VISUALBASIC	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
2271	2271	5079	PRG	Autodesk	Vault	DBMS	DBMS-BI	APPL	DATABASE MANAGEMENT	
2272	2272	11264	PRG	WooCommerce	COMM-SWFTWR	COMMERCE	ENTPRISE-APP	APPL	COMMERCE APPLICATION	
2276	2276	985	PRG	PerTrac	MONITORNG-SW	MONITORING	ENTERPRISE-M	APPL	SECURITY INFORMATION & EVENT	
2277	2277	1091	PRG	Apache-Soft	Hadoop	DBMS	DBMS-BI	APPL	DATABASE MANAGEMENT	
2281	2281	1039	OPR	Oracle	Solaris9	UNIX	UNIX		OPERATING SYSTEM	
2283	2283	519	PRG	Citrix	AccessGatewy	IAAS	CLOUD-CMPTNG	APPL	INFRASTRUCTURE AS A SERVICE	
2284	2284	5318	PRG	McAfee	ePO	ANTI-VIRUS	SECURITY-MGT	SYSTEM	ANTI-VIRUS	
2285	2285	3304000	OPR	SCO	UNIX	UNIX	UNIX		OPERATING SYSTEM	
2286	2286	6517000	PRG	ORACLE	PORTAL	PORTAL-MGMT	WORKFLOW	APPL	PORTAL MANAGEMENT	
2288	2288	1025	PRG	Adobe	Insight	MONITORING	ENTERPRISE-M	APPL	SECURITY INFORMATION & EVENT	
2289	2289	10626	PRG	IBM	RatQualMgr	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
2290	2290	544	AUX	EMC	Hardware	DISK-NAS	NAS	NAS	NETWORK ATTACHED STORAGE	
2291	2291	11521	PRG	Meta4	HR-SOFTWARE	HUMAN-RES	ENTPRISE-APP	APPL	HUMAN RESOURCES MANAGEMENT	
2292	2292	11991	PRG	DotNetNuke	SAAS	SAAS	CLOUD-CMPTNG	APPL	SOFTWARE AS A SERVICE	
2294	2294	1322	PRG	Responsys	EMAIL	EMAIL	ENTPRISE-APP	APPL	EMAIL SOFTWARE	
2295	2295	10986	PRG	MICROS	POS	RETIAL	IND-SPECIFIC	APPL	RETAIL	
2298	2298	1059	PRG	HP	Livesite	SAAS	CLOUD-CMPTNG	APPL	SOFTWARE AS A SERVICE	
2300	2300	10963	PRG	Tekla	PUBLISHNG-SW	PUBLISHING	ENTPRISE-APP	APPL	DESIGN & PUBLISHING SOFTWARE	
2304	2304	8808	PRG	Crimson Hex	CrimsonHex	BI	DBMS-BI	APPL	BUSINESS INTELLIGENCE	
2305	2305	90250400	OPR	NOVELL	NETWARE	NETWARE	NETWARE		LAN OPERATING SYSTEM	
2306	2306	10524	PRG	Bullhorn	HR-SOFTWARE	HUMAN-RES	ENTPRISE-APP	APPL	HUMAN RESOURCES MANAGEMENT	
2308	2308	1372	OPR	IBM	i OS	OS	OS		OPERATING SYSTEM	
2309	2309	12416	PRG	Skype	COLLAB-SWFTR	COLLABORATIV	ENTPRISE-APP	SYSTEM	COLLABORATIVE/INTEGRN SOFTWR	
2311	2311	4678	PRG	SAP	ContractMgmt	DOC-MGMT	WORKFLOW	APPL	DOCUMENT MANAGEMENT	
2314	2314	323	AUX	IBM	Netezza	DISK-NAS	NAS	NAS	NETWORK ATTACHED STORAGE	
2316	2316	12764	PRG	Brightree	medact	MEDICAL	IND-SPECIFIC	APPL	MEDICAL	
2317	2317	7243	PRG	Zendesk	HELPDESK	HELPDESK	ENTERPRISE-A	APPL	HELP DESK MANAGEMENT	
2319	2319	11409	PRG	Thawte	ANTI-VIRUS	ANTI-VIRUS	SECURITY-MGT	SYSTEM	ANTI-VIRUS	
2321	2321	11616	OPR	TestNG	OS	OS	OS		OPERATING SYSTEM	
2322	2322	1133	PRG	SAS	SASSTAT	MONITORING	ENTERPRISE-M	APPL	SECURITY INFORMATION & EVENT	
2323	2323	10615	PRG	Ab Initio	BUS-SOFTWARE	BUSINESS SOL	ENTPRISE-APP	APPL	ENTERPRISE BUSINESS SOLUTION	
2324	2324	11400	PRG	RichRelevnc	RichRelevanc	SAAS	CLOUD-CMPTNG	APPL	SOFTWARE AS A SERVICE	
2327	2327	4845	PRG	ESRI	ArcGIS	PUBLISHING	ENTPRISE-APP	APPL	DESIGN & PUBLISHING SOFTWARE	
2328	2328	11518	PRG	Akamai	KonaSiteDef	ANTI-VIRUS	SECURITY-MGT	SYSTEM	ANTI-VIRUS	
2331	2331	10632	PRG	Panaya	DEV-TOOL	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
2332	2332	60	PRG	Akamai	DEV-TOOL	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
2333	2333	6500700	CPU	IBM	BLADECENTER	BLADECENTER	BLADECENTER	INTEL	SERVER	
2334	2334	11065	PRG	TagMan	DBMS-SWFTWR	DBMS	DBMS-BI	APPL	DATABASE MANAGEMENT	
2335	2335	11470	PRG	Hootsuite	SOCIAL-MGT	SOCIAL-MGT	ENTERPRISE-A	SYSTEM	SOCIAL MEDIA SYSTEMS	
2338	2338	7247	PRG	Google	AppEngine	PAAS	CLOUD-CMPTNG	APPL	PLATFORM AS A SERVICE	
2339	2339	5001	PRG	Acumatica	ERP	ERP-UNSPEC	ENTPRISE-APP	APPL	UNSPECIFIED ERP MODULE	
2340	2340	11696	PRG	Oracle	Recovery Mgr	STORAGE-MGMT	STORAGE-MGMT	SYSTEM	STORAGE MANAGEMENT	
2343	2343	285	PRG	LabWare	LabWare LIMS	DATA-CENTER	ENTERRISE-MG	SYSTEM	IT INFRASTRUCTURE & OPS MANA	
2344	2344	1293	PRG	Amazon	Cloudwatch	MONITORING	ENTERPRISE-M	APPL	SECURITY INFORMATION & EVENT	
2346	2346	1110	PRT	Canon	Printers	PRINTER	PRINTER	UNSPEC	PRINTER	
2347	2347	9299	RTR	HP	ProCurve	ROUTER	ROUTER		ROUTER	
2348	2348	8431	PRG	McAfee	WebGateway	ANTI-VIRUS	SECURITY-MGT	SYSTEM	ANTI-VIRUS	
2350	2350	12679	PRG	CampMinder	PUBLISHNG-SW	PUBLISHING	ENTPRISE-APP	APPL	DESIGN & PUBLISHING SOFTWARE	
2353	2353	138	PRG	Clarabridge	MONITORNG-SW	MONITORING	ENTERPRISE-M	APPL	SECURITY INFORMATION & EVENT	
2354	2354	90798200	PRG	SOFTWARE+	HUMAN-RES	HUMAN-RES	ENTPRISE-APP	APPL	HUMAN RESOURCES MANAGEMENT	
2355	2355	10489	PRG	Accertify	ANTI-VIRUS	ANTI-VIRUS	SECURITY-MGT	SYSTEM	ANTI-VIRUS	
2356	2356	4983	PRG	Salesboom	SAAS-CRM	SAAS-CRM	CLOUD-CMPTNG	APPL	CRM AS A SERVICE	
2357	2357	4546	PRG	Adobe	Genesis	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
2358	2358	10579	PRG	docSTAR	DOC-MGMT	DOC-MGMT	WORKFLOW	APPL	DOCUMENT MANAGEMENT	
2360	2360	10733	PRG	SalesFUSION	MARKETING-SW	MARKETING	ENTPRISE-APP	APPL	MARKETING PERFORMANCE MANAGE	
2363	2363	10520	PRG	Mandiant	ANTI-VIRUS	ANTI-VIRUS	SECURITY-MGT	SYSTEM	ANTI-VIRUS	
2364	2364	3394	PRG	NetScout	nGenius	DATA-CENTER	ENTERRISE-MG	SYSTEM	IT INFRASTRUCTURE & OPS MANA	
2365	2365	725	PRG	VMware	View	SERVER-MGMT	CLOUD-CMPTNG	APPL	INFRASTRUCTURE AS A SERVICE	
2366	2366	10605	PRG	Juniper	ISG-Series	ANTI-VIRUS	SECURITY-MGT	SYSTEM	ANTI-VIRUS	
2367	2367	1292	PRG	Amazon	IAM	ANTI-VIRUS	SECURITY-MGT	SYSTEM	ANTI-VIRUS	
2368	2368	250	PRG	Intacct	ACCTNG-SFTWR	ACCOUNTING	ENTPRISE-APP	APPL	ACCOUNTING	
2369	2369	4676	PRG	Oracle	Taleo ENT	HUMAN-RES	ENTPRISE-APP	APPL	HUMAN RESOURCES MANAGEMENT	
2370	2370	10883	PRG	Citrix	XenMobile	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
2371	2371	7352	PRG	Cloudera	Impala	DBMS	DBMS-BI	APPL	DATABASE MANAGEMENT	
2374	2374	11205	PRG	OsCommerce	COMM-SWFTWR	COMMERCE	ENTPRISE-APP	APPL	COMMERCE APPLICATION	
2375	2375	3975500	PRG	HP	DBMS	DBMS	DBMS-BI	APPL	DATABASE MANAGEMENT	
2377	2377	665	PRG	SAP	SAP SOM	ERP-UNSPEC	ENTPRISE-APP	APPL	UNSPECIFIED ERP MODULE	
2378	2378	779	PRG	Oracle	RealAppClstr	DBMS	DBMS-BI	APPL	DATABASE MANAGEMENT	
2379	2379	90953200	OPR	UBUNTU	LINUX	UNIX	UNIX		OPERATING SYSTEM	
2382	2382	6777	PRG	Oracle	FsnHmnCapMgt	HUMAN-RES	ENTPRISE-APP	APPL	HUMAN RESOURCES MANAGEMENT	
2383	2383	12446	PRG	LinkedIn	Recruiter	HUMAN-RES	ENTPRISE-APP	APPL	HUMAN RESOURCES MANAGEMENT	
2385	2385	6669	AUX	Oracle	StorageTek	DISK-NAS	NAS	NAS	NETWORK ATTACHED STORAGE	
2386	2386	7154	PRG	EVault	STORAGE-MGMT	STORAGE-MGMT	STORAGE-MGMT	SYSTEM	STORAGE MANAGEMENT	
2387	2387	5304	PRG	Oracle	OracleVM	SERVER-MGMT	SYSTEMS-MGMT	SYSTEM	SERVER MANAGEMENT TOOLS	
2390	2390	11783	PRG	Adobe	EchoSign	PUBLISHING	ENTPRISE-APP	APPL	DESIGN & PUBLISHING SOFTWARE	
2391	2391	1242	PRG	FogCreekSft	FogBugz	SOFT-CONFIG	APPL-MGMT	SYSTEM	SOFTWARE CONFIGURATION MGMT	
2393	2393	11274	PRG	Peak 10	IAAS	IAAS	CLOUD-CMPTNG	APPL	INFRASTRUCTURE AS A SERVICE	
2394	2394	90778600	PRG	GOOGLE	POSTINI	GOOGLEAPPS	CLOUD-CMPTNG	APPL	SOFTWARE AS A SERVICE	
2395	2395	8983	PRG	Paycom	HR-SOFTWARE	HUMAN-RES	ENTPRISE-APP	APPL	HUMAN RESOURCES MANAGEMENT	
2397	2397	11459	PRG	Neotys	DEV-TOOL	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
2398	2398	467	PRG	Trend-Micro	TrendMicro	ANTI-VIRUS	SECURITY-MGT	SYSTEM	ANTI-VIRUS	
2400	2400	558	PRG	IBM	WebSphere	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
2401	2401	289	PRG	Compulink	Laserfiche	DOC-MGMT	WORKFLOW	APPL	DOCUMENT MANAGEMENT	
2403	2403	10676	PRG	SurveyGizmo	PUBLISHNG-SW	PUBLISHING	ENTPRISE-APP	APPL	DESIGN & PUBLISHING SOFTWARE	
2404	2404	1207	PRG	Apriso	FlexNet	BUSINESS SOL	ENTPRISE-APP	APPL	ENTERPRISE BUSINESS SOLUTION	
2405	2405	11052	PRG	ADP	TotalSource	HUMAN-RES	ENTPRISE-APP	APPL	HUMAN RESOURCES MANAGEMENT	
2408	2408	317	OPR	Microsoft	BizTalkSrvr	OS	OS		OPERATING SYSTEM	
2411	2411	12789	PRG	Echoworx	EMAIL	EMAIL	ENTPRISE-APP	APPL	EMAIL SOFTWARE	
2413	2413	668	PRG	SAP	TM	SUPPLY-CHAIN	ENTPRISE-APP	APPL	SUPPLY CHAIN MANAGEMENT	
2414	2414	11692	PRG	IBM	Watson	PUBLISHING	ENTPRISE-APP	APPL	DESIGN & PUBLISHING SOFTWARE	
2416	2416	6497	CPU	VCE	VCEVblock	UNSPEC-SVR	INTEL-SERVER	INTEL	SERVER	
2417	2417	8749	PRG	Lectora	PUBLISHNG-SW	PUBLISHING	ENTPRISE-APP	APPL	DESIGN & PUBLISHING SOFTWARE	
2418	2418	10875	PRG	EMC	Smarts	DATA-CENTER	ENTERRISE-MG	SYSTEM	IT INFRASTRUCTURE & OPS MANA	
